FIPS,County,State,Plan_Selections
13213,Murray County,GA,1248
13215,Muscogee County,GA,6840
13217,Newton County,GA,6595
13219,Oconee County,GA,1540
13221,Oglethorpe County,GA,656
13223,Paulding County,GA,8659
13225,Peach County,GA,1212
13227,Pickens County,GA,1549
13229,Pierce County,GA,531
13231,Pike County,GA,640
13233,Polk County,GA,2006
13235,Pulaski County,GA,321
13237,Putnam County,GA,916
13239,Quitman County,GA,84
13241,Rabun County,GA,1184
13243,Randolph County,GA,320
13245,Richmond County,GA,10259
13247,Rockdale County,GA,6608
13249,Schley County,GA,178
13251,Screven County,GA,856
13253,Seminole County,GA,398
13255,Spalding County,GA,2806
13257,Stephens County,GA,870
13259,Stewart County,GA,182
13261,Sumter County,GA,1469
13263,Talbot County,GA,286
13265,Taliaferro County,GA,78
13267,Tattnall County,GA,849
13269,Taylor County,GA,237
13271,Telfair County,GA,363
13273,Terrell County,GA,389
13275,Thomas County,GA,2204
13277,Tift County,GA,1407
13279,Toombs County,GA,900
13281,Towns County,GA,759
13283,Treutlen County,GA,263
13285,Troup County,GA,3173
13287,Turner County,GA,333
13289,Twiggs County,GA,350
13291,Union County,GA,1331
13293,Upson County,GA,1056
13295,Walker County,GA,2680
13297,Walton County,GA,4327
13299,Ware County,GA,951
13301,Warren County,GA,323
13303,Washington County,GA,858
13305,Wayne County,GA,1397
13307,Webster County,GA,145
13309,Wheeler County,GA,178
13311,White County,GA,1991
13313,Whitfield County,GA,3568
13315,Wilcox County,GA,294
13317,Wilkes County,GA,498
13319,Wilkinson County,GA,410
13321,Worth County,GA,685
15001,Hawaii County,HI,3405
15003,Honolulu County,HI,7923
15007,Kauai County,HI,827
15009,Maui County,HI,2409
17001,Adams County,IL,1740
17003,Alexander County,IL,116
17005,Bond County,IL,473
17007,Boone County,IL,1612
17009,Brown County,IL,139
17011,Bureau County,IL,986
17013,Calhoun County,IL,156
17015,Carroll County,IL,574
17017,Cass County,IL,367
17019,Champaign County,IL,4470
17021,Christian County,IL,808
17023,Clark County,IL,541
17025,Clay County,IL,429
17027,Clinton County,IL,974
17029,Coles County,IL,1305
17031,Cook County,IL,164550
17033,Crawford County,IL,456
17035,Cumberland County,IL,402
17037,DeKalb County,IL,3174
17039,De Witt County,IL,466
17041,Douglas County,IL,607
17043,DuPage County,IL,36431
17045,Edgar County,IL,538
17047,Edwards County,IL,167
17049,Effingham County,IL,1569
17051,Fayette County,IL,612
17053,Ford County,IL,488
17055,Franklin County,IL,1000
17057,Fulton County,IL,875
17059,Gallatin County,IL,161
17061,Greene County,IL,352
17063,Grundy County,IL,1235
17065,Hamilton County,IL,267
17067,Hancock County,IL,443
17069,Hardin County,IL,76
17071,Henderson County,IL,202
17073,Henry County,IL,1454
17075,Iroquois County,IL,920
17077,Jackson County,IL,1269
17079,Jasper County,IL,471
17081,Jefferson County,IL,1063
17083,Jersey County,IL,500
17085,Jo Daviess County,IL,978
17087,Johnson County,IL,250
17089,Kane County,IL,15135
17091,Kankakee County,IL,2447
17093,Kendall County,IL,3650
17095,Knox County,IL,1269
17097,Lake County,IL,24808
17099,LaSalle County,IL,2962
17101,Lawrence County,IL,444
17103,Lee County,IL,872
17105,Livingston County,IL,885
17107,Logan County,IL,783
17109,McDonough County,IL,648
17111,McHenry County,IL,12157
17113,McLean County,IL,3622
17115,Macon County,IL,2310
17117,Macoupin County,IL,1261
17119,Madison County,IL,6757
17121,Marion County,IL,958
17123,Marshall County,IL,307
17125,Mason County,IL,370
17127,Massac County,IL,313
17129,Menard County,IL,252
17131,Mercer County,IL,492
17133,Monroe County,IL,980
17135,Montgomery County,IL,814
17137,Morgan County,IL,886
17139,Moultrie County,IL,458
17141,Ogle County,IL,1654
